shot_budget,episode_id,sample_id,crystal_system,role,spectrum_sha256
1shot,E1,RRUFF-R050375,orthorhombic,adaptation_validation,86E95CEA579BCA5CB8A3FCB37DE832C9F7E6F4251352D9C6CAC4E812DEED1EF7
1shot,E1,RRUFF-R040095,tetragonal,adaptation_validation,76F2CC01196A449374E93AC5D68231A93FB385384F7E70465AEFC347D9BA08D7
1shot,E1,RRUFF-R050372,tetragonal,adaptation_validation,52807C79FFD55FC5808DB969D9542B991A4AA3FC014473E7BE672C5F9FD78467
1shot,E1,RRUFF-R050217,triclinic,adaptation_validation,5D7CEA9AFA45F66C20D183FD08E058D181E363A3D958CBC3CB493F181BCE140C
1shot,E1,RRUFF-R050396,triclinic,adaptation_validation,0B502B4DD5F5DD46868C50F6F57A60AED8A9306AB81F4DE0B6A82A4FC3F31232
1shot,E1,RRUFF-R050109,trigonal,adaptation_validation,0AD6294BD2BB5F841DD33E844AD27DF84FF9E5A8024D8D510D51F87B4A40ECB5
1shot,E1,RRUFF-R060356,trigonal,adaptation_validation,C8C70F0044C508922D764E9539E06D540B4A1578E834E9A8EA93FE8CBE25287E
1shot,E1,RRUFF-R050302,cubic,final_real_test,B969A595729EA0D15CAB51BEC45B6D7DA0C87D0224D455FDE0DA819CCB32B3D7
1shot,E1,RRUFF-R060075,cubic,final_real_test,C5F4AC6315E17B285616F73FF83500E5AC286A33F0949DC03E8CBF1BB299EB7A
1shot,E1,RRUFF-R060156,cubic,final_real_test,3CABBEF0BCEAE8FE73D0C4C27051C80BC678C7B009784C97198BEB00E0409D32
1shot,E1,RRUFF-R060446,cubic,final_real_test,F2945DE0346BF58A45CB344E78443361D7593243462A75F1609FF8D2D9EDA259
1shot,E1,RRUFF-R070304,cubic,final_real_test,13D7E190E082FE4BA8461D3C40A4528EA4767080F026D3B4478271E7425BC433
1shot,E1,RRUFF-R050189,hexagonal,final_real_test,19B2F1398CE6C717C91DD98327008D8FEBEA2E8771F47102619794E6E1EF2DC7
1shot,E1,RRUFF-R050512,hexagonal,final_real_test,6B667E15392D1E1E069A9AF77A9DA701B4EB3F1DB0DA7D318FBFD79F02B0983E
1shot,E1,RRUFF-R060168,hexagonal,final_real_test,5CAA278410060E43FCF81C114D4DD71455D91C0D4F6CD7B0324A91EB5B6C52C5
1shot,E1,RRUFF-R060285,hexagonal,final_real_test,66ABA5D0A8D91F5CA8619A06CC1805B28F6D2B70DB78EBEBC1FF9E4AC37FD8FB
1shot,E1,RRUFF-R070464,hexagonal,final_real_test,4B7A76F00C1C20EE3FB8E4F52A68DC8C0BE60677CBD0FDF2C25B14EB0D443E6A
1shot,E1,RRUFF-R050141,monoclinic,final_real_test,DA557EB5A2F1EB6E2A883C42929638F54E2A4F7F7D1870288B8CA1472D9D823E
1shot,E1,RRUFF-R050569,monoclinic,final_real_test,12E952A3C20B6879B6C7C698CE6C8A587287CE879F2AF63CD622AB205EDF91D1
1shot,E1,RRUFF-R060047,monoclinic,final_real_test,DBD755A9A95C7AB5737F2B0536BAFB8901107B58B9F68659745DC4DEED8373C6
1shot,E1,RRUFF-R060061,monoclinic,final_real_test,5181A32AC2F096E567F895548022234BE8B21665F42DD91EF3B9631B43533581
1shot,E1,RRUFF-R060559,monoclinic,final_real_test,8F07D907381FFF16BC88CEE26A691C9E88D871446486A3C21F9C35EFDCA8C8B7
1shot,E1,RRUFF-R040005,orthorhombic,final_real_test,1D4C0DDD63151524B56C486723EF27AFF3C85874F2C9A1F585748395E60A7E2B
1shot,E1,RRUFF-R050408,orthorhombic,final_real_test,CC8361A5F94F52E66F84281B8E97C175462A858605F1FC2E9511F19FDC64A0FF
1shot,E1,RRUFF-R050513,orthorhombic,final_real_test,0880428C6B51319BCB346239BA8438F914752E004053B97897FB265D7332AC66
1shot,E1,RRUFF-R070485,orthorhombic,final_real_test,3F0A1C0132B8143DA1DFA1D17AF0B7CAFF83728BD936EA72C8700531EE60B9D4
1shot,E1,RRUFF-R230005,orthorhombic,final_real_test,5B88AF71A00DC56633AF25C50E3E9346167656B103E06494916D4FEC976D4032
1shot,E1,RRUFF-R040153,tetragonal,final_real_test,70D36B29D8561ED3807C447EBFB77F0AC0C66D2C2E9A5FA86DDC3C0BBF2BDD1E
1shot,E1,RRUFF-R050281,tetragonal,final_real_test,95183ABE782F7CDCCD0EB3709ED4F104752C5D4B55CEB83BDD22E768E9316A3F
1shot,E1,RRUFF-R050412,tetragonal,final_real_test,F2D3A2A1F7DBB1AB1026DF453B6BDA1168D68FDFE96D81970EC59DFB685E7D7D
1shot,E1,RRUFF-R060414,tetragonal,final_real_test,7049CFF4496D0E5047B4A6C9C24A24D6681281E887C4F4DF6687B8CDC542001D
1shot,E1,RRUFF-R060512,tetragonal,final_real_test,CBDAFE6C2078396B6E509FFD458557CA5131E65EF8A45D1B01E66D4022D6E6EF
1shot,E1,RRUFF-R040131,triclinic,final_real_test,CE432465F09E3FBC74CE6BFADE392D4D61AD7F4947E3833EE809377D9F7F7FC9
1shot,E1,RRUFF-R050500,triclinic,final_real_test,16108017B107D22CBA51AB35B6C536D5ABE2CE666A1B34FA2B61E4E7CD2E135A
1shot,E1,RRUFF-R050582,triclinic,final_real_test,6EB1798ED746C638B7B97AB400178398AB1D7BC6B4F94D6E832CDC48B746E892
1shot,E1,RRUFF-R060083,triclinic,final_real_test,AD198B3A6A1F140132981DAC42E6047F0737FFCB7BB20963F87F5650089FBFF7
1shot,E1,RRUFF-R060096,triclinic,final_real_test,46FA08EBF08989FACD983E1DFF2128AD794047D34906A8BF458542E0037C9BC1
1shot,E1,RRUFF-R050014,trigonal,final_real_test,FBB8A535D3C8DB45E56D8C614F32E947524F8BD1B09139008B6FEB4DDEC37152
1shot,E1,RRUFF-R050290,trigonal,final_real_test,94F4B68AE074984BD29B779DC733E109B47CDFB4C52828EBCE2A572055D8F272
1shot,E1,RRUFF-R050301,trigonal,final_real_test,4DDBF24AC0FF93A16AAB88ED208F2C0C9C8E90CB24C3D7B6EFC554F4D0AF3A72
1shot,E1,RRUFF-R060003,trigonal,final_real_test,C78407C020EC0ED06E04B05B8E02B776A2C0A427E72EAE5F97913F4B65ACDCB3
1shot,E1,RRUFF-R060875,trigonal,final_real_test,017C495B663FA13102A1EE399D34BBA0B01274D2FFE9494383D2A3EA5EC61ACA
1shot,E2,RRUFF-R050553,cubic,support_train,D1384CF777D7DA52A0A310120300FE80F75DB92E8E347F8041EAF7FCBE1F9355
1shot,E2,RRUFF-R050352,hexagonal,support_train,C3BAE2DA839EAA4E81446BBB842295780F5DD9D2404907FB2A6FF38DFF9ECCFF
1shot,E2,RRUFF-R070576,monoclinic,support_train,6C227BFCC3E69D9E5F0CF8A9564DD059F5168FCDB3F42A386E5F5EE97AACE39E
1shot,E2,RRUFF-R050373,orthorhombic,support_train,407BBB505926FE37DB18A32EDDEFA8FF7F1F42CB74C7BBDD876F3D4ADDB750EE
1shot,E2,RRUFF-R050643,tetragonal,support_train,A3F398F0E62835459FF419AE37072A23D263A5FD9B2A117615E4DD602C7E7161
1shot,E2,RRUFF-R061121,triclinic,support_train,A7F5E500692BFBB27171CA681C360A11C2F6D2E9DDC774FB3943ED7F32D4C12F
1shot,E2,RRUFF-R050308,trigonal,support_train,337972B0D616572233F8F4114EE89690C86AA4922A2DD1805569B46EBDAA380B
1shot,E2,RRUFF-R050411,cubic,adaptation_validation,A294098231F3C88277BCC42A93A29B5412E1F5AE3395838520E755ABAE452A5C
1shot,E2,RRUFF-R070506,cubic,adaptation_validation,B7C137712506C34F57E4866D83C5790789226F132DB045100769D97C5DF24D2B
1shot,E2,RRUFF-R090045,hexagonal,adaptation_validation,BF32BC8A190E1C8AD288261208FCA47E969EB6B743FAB40A558C703F9AB3A473
1shot,E2,RRUFF-R100208,hexagonal,adaptation_validation,AA8874F87FB7C04D5B16B7179DAA680C2B7C46380FA226509BEBCF68E7FFAF73
1shot,E2,RRUFF-R050423,monoclinic,adaptation_validation,321C78904ADC5508D3C8D1A8B4848CE4D19591DDCECE31AB859C51BA661B188B
1shot,E2,RRUFF-R050480,monoclinic,adaptation_validation,A3B0306808281F7B2A4A886EAA8C820CB906D94BC78A346BB47E1270AB5D6965
1shot,E2,RRUFF-R050309,orthorhombic,adaptation_validation,58EB64677FC9C53368EAB95364595860E461CB1708E7B4424F982819DE313291
1shot,E2,RRUFF-R050375,orthorhombic,adaptation_validation,86E95CEA579BCA5CB8A3FCB37DE832C9F7E6F4251352D9C6CAC4E812DEED1EF7
1shot,E2,RRUFF-R040095,tetragonal,adaptation_validation,76F2CC01196A449374E93AC5D68231A93FB385384F7E70465AEFC347D9BA08D7
1shot,E2,RRUFF-R050372,tetragonal,adaptation_validation,52807C79FFD55FC5808DB969D9542B991A4AA3FC014473E7BE672C5F9FD78467
1shot,E2,RRUFF-R050217,triclinic,adaptation_validation,5D7CEA9AFA45F66C20D183FD08E058D181E363A3D958CBC3CB493F181BCE140C
1shot,E2,RRUFF-R050396,triclinic,adaptation_validation,0B502B4DD5F5DD46868C50F6F57A60AED8A9306AB81F4DE0B6A82A4FC3F31232
1shot,E2,RRUFF-R050109,trigonal,adaptation_validation,0AD6294BD2BB5F841DD33E844AD27DF84FF9E5A8024D8D510D51F87B4A40ECB5
1shot,E2,RRUFF-R060356,trigonal,adaptation_validation,C8C70F0044C508922D764E9539E06D540B4A1578E834E9A8EA93FE8CBE25287E
1shot,E2,RRUFF-R050302,cubic,final_real_test,B969A595729EA0D15CAB51BEC45B6D7DA0C87D0224D455FDE0DA819CCB32B3D7
1shot,E2,RRUFF-R060075,cubic,final_real_test,C5F4AC6315E17B285616F73FF83500E5AC286A33F0949DC03E8CBF1BB299EB7A
1shot,E2,RRUFF-R060156,cubic,final_real_test,3CABBEF0BCEAE8FE73D0C4C27051C80BC678C7B009784C97198BEB00E0409D32
1shot,E2,RRUFF-R060446,cubic,final_real_test,F2945DE0346BF58A45CB344E78443361D7593243462A75F1609FF8D2D9EDA259
1shot,E2,RRUFF-R070304,cubic,final_real_test,13D7E190E082FE4BA8461D3C40A4528EA4767080F026D3B4478271E7425BC433
1shot,E2,RRUFF-R050189,hexagonal,final_real_test,19B2F1398CE6C717C91DD98327008D8FEBEA2E8771F47102619794E6E1EF2DC7
1shot,E2,RRUFF-R050512,hexagonal,final_real_test,6B667E15392D1E1E069A9AF77A9DA701B4EB3F1DB0DA7D318FBFD79F02B0983E
1shot,E2,RRUFF-R060168,hexagonal,final_real_test,5CAA278410060E43FCF81C114D4DD71455D91C0D4F6CD7B0324A91EB5B6C52C5
1shot,E2,RRUFF-R060285,hexagonal,final_real_test,66ABA5D0A8D91F5CA8619A06CC1805B28F6D2B70DB78EBEBC1FF9E4AC37FD8FB
1shot,E2,RRUFF-R070464,hexagonal,final_real_test,4B7A76F00C1C20EE3FB8E4F52A68DC8C0BE60677CBD0FDF2C25B14EB0D443E6A
1shot,E2,RRUFF-R050141,monoclinic,final_real_test,DA557EB5A2F1EB6E2A883C42929638F54E2A4F7F7D1870288B8CA1472D9D823E
1shot,E2,RRUFF-R050569,monoclinic,final_real_test,12E952A3C20B6879B6C7C698CE6C8A587287CE879F2AF63CD622AB205EDF91D1
1shot,E2,RRUFF-R060047,monoclinic,final_real_test,DBD755A9A95C7AB5737F2B0536BAFB8901107B58B9F68659745DC4DEED8373C6
1shot,E2,RRUFF-R060061,monoclinic,final_real_test,5181A32AC2F096E567F895548022234BE8B21665F42DD91EF3B9631B43533581
1shot,E2,RRUFF-R060559,monoclinic,final_real_test,8F07D907381FFF16BC88CEE26A691C9E88D871446486A3C21F9C35EFDCA8C8B7
1shot,E2,RRUFF-R040005,orthorhombic,final_real_test,1D4C0DDD63151524B56C486723EF27AFF3C85874F2C9A1F585748395E60A7E2B
1shot,E2,RRUFF-R050408,orthorhombic,final_real_test,CC8361A5F94F52E66F84281B8E97C175462A858605F1FC2E9511F19FDC64A0FF
1shot,E2,RRUFF-R050513,orthorhombic,final_real_test,0880428C6B51319BCB346239BA8438F914752E004053B97897FB265D7332AC66
1shot,E2,RRUFF-R070485,orthorhombic,final_real_test,3F0A1C0132B8143DA1DFA1D17AF0B7CAFF83728BD936EA72C8700531EE60B9D4
1shot,E2,RRUFF-R230005,orthorhombic,final_real_test,5B88AF71A00DC56633AF25C50E3E9346167656B103E06494916D4FEC976D4032
1shot,E2,RRUFF-R040153,tetragonal,final_real_test,70D36B29D8561ED3807C447EBFB77F0AC0C66D2C2E9A5FA86DDC3C0BBF2BDD1E
1shot,E2,RRUFF-R050281,tetragonal,final_real_test,95183ABE782F7CDCCD0EB3709ED4F104752C5D4B55CEB83BDD22E768E9316A3F
1shot,E2,RRUFF-R050412,tetragonal,final_real_test,F2D3A2A1F7DBB1AB1026DF453B6BDA1168D68FDFE96D81970EC59DFB685E7D7D
1shot,E2,RRUFF-R060414,tetragonal,final_real_test,7049CFF4496D0E5047B4A6C9C24A24D6681281E887C4F4DF6687B8CDC542001D
1shot,E2,RRUFF-R060512,tetragonal,final_real_test,CBDAFE6C2078396B6E509FFD458557CA5131E65EF8A45D1B01E66D4022D6E6EF
1shot,E2,RRUFF-R040131,triclinic,final_real_test,CE432465F09E3FBC74CE6BFADE392D4D61AD7F4947E3833EE809377D9F7F7FC9
1shot,E2,RRUFF-R050500,triclinic,final_real_test,16108017B107D22CBA51AB35B6C536D5ABE2CE666A1B34FA2B61E4E7CD2E135A
1shot,E2,RRUFF-R050582,triclinic,final_real_test,6EB1798ED746C638B7B97AB400178398AB1D7BC6B4F94D6E832CDC48B746E892
1shot,E2,RRUFF-R060083,triclinic,final_real_test,AD198B3A6A1F140132981DAC42E6047F0737FFCB7BB20963F87F5650089FBFF7
1shot,E2,RRUFF-R060096,triclinic,final_real_test,46FA08EBF08989FACD983E1DFF2128AD794047D34906A8BF458542E0037C9BC1
1shot,E2,RRUFF-R050014,trigonal,final_real_test,FBB8A535D3C8DB45E56D8C614F32E947524F8BD1B09139008B6FEB4DDEC37152
1shot,E2,RRUFF-R050290,trigonal,final_real_test,94F4B68AE074984BD29B779DC733E109B47CDFB4C52828EBCE2A572055D8F272
1shot,E2,RRUFF-R050301,trigonal,final_real_test,4DDBF24AC0FF93A16AAB88ED208F2C0C9C8E90CB24C3D7B6EFC554F4D0AF3A72
1shot,E2,RRUFF-R060003,trigonal,final_real_test,C78407C020EC0ED06E04B05B8E02B776A2C0A427E72EAE5F97913F4B65ACDCB3
1shot,E2,RRUFF-R060875,trigonal,final_real_test,017C495B663FA13102A1EE399D34BBA0B01274D2FFE9494383D2A3EA5EC61ACA
1shot,E3,RRUFF-R050345,cubic,support_train,29D7C7A60D8C740CC578A26CAE6B03D243DCE3664DAA0E7042242E7F40D3FF57
1shot,E3,RRUFF-R050646,hexagonal,support_train,93746FFAA57D835247CE0149E1C2C4B0157D98F82ED1246EDC8A067DAC468DA1
1shot,E3,RRUFF-R060313,monoclinic,support_train,84ED2F3299819270502E612510B3CFEDE2F489BF52E5B4236C374551B6A795C1
1shot,E3,RRUFF-R050091,orthorhombic,support_train,A632D08BB576B45F87877CBBF48DCFC7CB859C09A30FA9248CCFFAF3B43D88FE
1shot,E3,RRUFF-R050640,tetragonal,support_train,7DD20994C7A541C4F123E1A03172B63D311381BA16F441371B2A24A22C754930
1shot,E3,RRUFF-R050450,triclinic,support_train,391E075A04FA66CD689A99626160678A328B50F7B983DBA4718B740ECAA0A8D5
1shot,E3,RRUFF-R060280,trigonal,support_train,D96B2657162F30413D1FD2AFBEF3C8F89FABB1D771CC6E04E5FE6D3869CA2A1F
1shot,E3,RRUFF-R050411,cubic,adaptation_validation,A294098231F3C88277BCC42A93A29B5412E1F5AE3395838520E755ABAE452A5C
1shot,E3,RRUFF-R070506,cubic,adaptation_validation,B7C137712506C34F57E4866D83C5790789226F132DB045100769D97C5DF24D2B
1shot,E3,RRUFF-R090045,hexagonal,adaptation_validation,BF32BC8A190E1C8AD288261208FCA47E969EB6B743FAB40A558C703F9AB3A473
1shot,E3,RRUFF-R100208,hexagonal,adaptation_validation,AA8874F87FB7C04D5B16B7179DAA680C2B7C46380FA226509BEBCF68E7FFAF73
1shot,E3,RRUFF-R050423,monoclinic,adaptation_validation,321C78904ADC5508D3C8D1A8B4848CE4D19591DDCECE31AB859C51BA661B188B
1shot,E3,RRUFF-R050480,monoclinic,adaptation_validation,A3B0306808281F7B2A4A886EAA8C820CB906D94BC78A346BB47E1270AB5D6965
1shot,E3,RRUFF-R050309,orthorhombic,adaptation_validation,58EB64677FC9C53368EAB95364595860E461CB1708E7B4424F982819DE313291
1shot,E3,RRUFF-R050375,orthorhombic,adaptation_validation,86E95CEA579BCA5CB8A3FCB37DE832C9F7E6F4251352D9C6CAC4E812DEED1EF7
1shot,E3,RRUFF-R040095,tetragonal,adaptation_validation,76F2CC01196A449374E93AC5D68231A93FB385384F7E70465AEFC347D9BA08D7
1shot,E3,RRUFF-R050372,tetragonal,adaptation_validation,52807C79FFD55FC5808DB969D9542B991A4AA3FC014473E7BE672C5F9FD78467
1shot,E3,RRUFF-R050217,triclinic,adaptation_validation,5D7CEA9AFA45F66C20D183FD08E058D181E363A3D958CBC3CB493F181BCE140C
1shot,E3,RRUFF-R050396,triclinic,adaptation_validation,0B502B4DD5F5DD46868C50F6F57A60AED8A9306AB81F4DE0B6A82A4FC3F31232
1shot,E3,RRUFF-R050109,trigonal,adaptation_validation,0AD6294BD2BB5F841DD33E844AD27DF84FF9E5A8024D8D510D51F87B4A40ECB5
1shot,E3,RRUFF-R060356,trigonal,adaptation_validation,C8C70F0044C508922D764E9539E06D540B4A1578E834E9A8EA93FE8CBE25287E
1shot,E3,RRUFF-R050302,cubic,final_real_test,B969A595729EA0D15CAB51BEC45B6D7DA0C87D0224D455FDE0DA819CCB32B3D7
1shot,E3,RRUFF-R060075,cubic,final_real_test,C5F4AC6315E17B285616F73FF83500E5AC286A33F0949DC03E8CBF1BB299EB7A
1shot,E3,RRUFF-R060156,cubic,final_real_test,3CABBEF0BCEAE8FE73D0C4C27051C80BC678C7B009784C97198BEB00E0409D32
1shot,E3,RRUFF-R060446,cubic,final_real_test,F2945DE0346BF58A45CB344E78443361D7593243462A75F1609FF8D2D9EDA259
1shot,E3,RRUFF-R070304,cubic,final_real_test,13D7E190E082FE4BA8461D3C40A4528EA4767080F026D3B4478271E7425BC433
1shot,E3,RRUFF-R050189,hexagonal,final_real_test,19B2F1398CE6C717C91DD98327008D8FEBEA2E8771F47102619794E6E1EF2DC7
1shot,E3,RRUFF-R050512,hexagonal,final_real_test,6B667E15392D1E1E069A9AF77A9DA701B4EB3F1DB0DA7D318FBFD79F02B0983E
1shot,E3,RRUFF-R060168,hexagonal,final_real_test,5CAA278410060E43FCF81C114D4DD71455D91C0D4F6CD7B0324A91EB5B6C52C5
1shot,E3,RRUFF-R060285,hexagonal,final_real_test,66ABA5D0A8D91F5CA8619A06CC1805B28F6D2B70DB78EBEBC1FF9E4AC37FD8FB
1shot,E3,RRUFF-R070464,hexagonal,final_real_test,4B7A76F00C1C20EE3FB8E4F52A68DC8C0BE60677CBD0FDF2C25B14EB0D443E6A
1shot,E3,RRUFF-R050141,monoclinic,final_real_test,DA557EB5A2F1EB6E2A883C42929638F54E2A4F7F7D1870288B8CA1472D9D823E
1shot,E3,RRUFF-R050569,monoclinic,final_real_test,12E952A3C20B6879B6C7C698CE6C8A587287CE879F2AF63CD622AB205EDF91D1
1shot,E3,RRUFF-R060047,monoclinic,final_real_test,DBD755A9A95C7AB5737F2B0536BAFB8901107B58B9F68659745DC4DEED8373C6
1shot,E3,RRUFF-R060061,monoclinic,final_real_test,5181A32AC2F096E567F895548022234BE8B21665F42DD91EF3B9631B43533581
1shot,E3,RRUFF-R060559,monoclinic,final_real_test,8F07D907381FFF16BC88CEE26A691C9E88D871446486A3C21F9C35EFDCA8C8B7
1shot,E3,RRUFF-R040005,orthorhombic,final_real_test,1D4C0DDD63151524B56C486723EF27AFF3C85874F2C9A1F585748395E60A7E2B
1shot,E3,RRUFF-R050408,orthorhombic,final_real_test,CC8361A5F94F52E66F84281B8E97C175462A858605F1FC2E9511F19FDC64A0FF
1shot,E3,RRUFF-R050513,orthorhombic,final_real_test,0880428C6B51319BCB346239BA8438F914752E004053B97897FB265D7332AC66
1shot,E3,RRUFF-R070485,orthorhombic,final_real_test,3F0A1C0132B8143DA1DFA1D17AF0B7CAFF83728BD936EA72C8700531EE60B9D4
1shot,E3,RRUFF-R230005,orthorhombic,final_real_test,5B88AF71A00DC56633AF25C50E3E9346167656B103E06494916D4FEC976D4032
1shot,E3,RRUFF-R040153,tetragonal,final_real_test,70D36B29D8561ED3807C447EBFB77F0AC0C66D2C2E9A5FA86DDC3C0BBF2BDD1E
1shot,E3,RRUFF-R050281,tetragonal,final_real_test,95183ABE782F7CDCCD0EB3709ED4F104752C5D4B55CEB83BDD22E768E9316A3F
1shot,E3,RRUFF-R050412,tetragonal,final_real_test,F2D3A2A1F7DBB1AB1026DF453B6BDA1168D68FDFE96D81970EC59DFB685E7D7D
1shot,E3,RRUFF-R060414,tetragonal,final_real_test,7049CFF4496D0E5047B4A6C9C24A24D6681281E887C4F4DF6687B8CDC542001D
1shot,E3,RRUFF-R060512,tetragonal,final_real_test,CBDAFE6C2078396B6E509FFD458557CA5131E65EF8A45D1B01E66D4022D6E6EF
1shot,E3,RRUFF-R040131,triclinic,final_real_test,CE432465F09E3FBC74CE6BFADE392D4D61AD7F4947E3833EE809377D9F7F7FC9
1shot,E3,RRUFF-R050500,triclinic,final_real_test,16108017B107D22CBA51AB35B6C536D5ABE2CE666A1B34FA2B61E4E7CD2E135A
1shot,E3,RRUFF-R050582,triclinic,final_real_test,6EB1798ED746C638B7B97AB400178398AB1D7BC6B4F94D6E832CDC48B746E892
1shot,E3,RRUFF-R060083,triclinic,final_real_test,AD198B3A6A1F140132981DAC42E6047F0737FFCB7BB20963F87F5650089FBFF7
1shot,E3,RRUFF-R060096,triclinic,final_real_test,46FA08EBF08989FACD983E1DFF2128AD794047D34906A8BF458542E0037C9BC1
1shot,E3,RRUFF-R050014,trigonal,final_real_test,FBB8A535D3C8DB45E56D8C614F32E947524F8BD1B09139008B6FEB4DDEC37152
1shot,E3,RRUFF-R050290,trigonal,final_real_test,94F4B68AE074984BD29B779DC733E109B47CDFB4C52828EBCE2A572055D8F272
1shot,E3,RRUFF-R050301,trigonal,final_real_test,4DDBF24AC0FF93A16AAB88ED208F2C0C9C8E90CB24C3D7B6EFC554F4D0AF3A72
1shot,E3,RRUFF-R060003,trigonal,final_real_test,C78407C020EC0ED06E04B05B8E02B776A2C0A427E72EAE5F97913F4B65ACDCB3
1shot,E3,RRUFF-R060875,trigonal,final_real_test,017C495B663FA13102A1EE399D34BBA0B01274D2FFE9494383D2A3EA5EC61ACA
2shot,E1,RRUFF-R050479,cubic,support_train,FFD3E026607219E2D785C2434F7E62280C9FBF8488C3635A91C40CC8B08398FA
2shot,E1,RRUFF-R050553,cubic,support_train,D1384CF777D7DA52A0A310120300FE80F75DB92E8E347F8041EAF7FCBE1F9355
2shot,E1,RRUFF-R050352,hexagonal,support_train,C3BAE2DA839EAA4E81446BBB842295780F5DD9D2404907FB2A6FF38DFF9ECCFF
2shot,E1,RRUFF-R050492,hexagonal,support_train,C15E2FD076CD1A5C28300CA911E0DFDBC30F8D4375F0522E05298BFFBB7AC53B
2shot,E1,RRUFF-R050453,monoclinic,support_train,748E031F478A4A0709D8B48B61C4E2AFCC640C96F0AAA1806CADDC93E7628276
2shot,E1,RRUFF-R070576,monoclinic,support_train,6C227BFCC3E69D9E5F0CF8A9564DD059F5168FCDB3F42A386E5F5EE97AACE39E
2shot,E1,RRUFF-R050373,orthorhombic,support_train,407BBB505926FE37DB18A32EDDEFA8FF7F1F42CB74C7BBDD876F3D4ADDB750EE
2shot,E1,RRUFF-R061118,orthorhombic,support_train,61D4234B0BF051AA89DC857DC29463BF6F1CEDF881A1A5C7F5D5D3927C08BC9B
2shot,E1,RRUFF-R050056,tetragonal,support_train,220C69705BAA3F84B746522E9B8635ED3DF48367E89B99F75EB83CA2B8341BE0
2shot,E1,RRUFF-R050643,tetragonal,support_train,A3F398F0E62835459FF419AE37072A23D263A5FD9B2A117615E4DD602C7E7161
2shot,E1,RRUFF-R060073,triclinic,support_train,ABFC1AC43A7F16579AD6C94EFCD336670464A8090B64DDAA85FA83B71C2C5FA0
2shot,E1,RRUFF-R061121,triclinic,support_train,A7F5E500692BFBB27171CA681C360A11C2F6D2E9DDC774FB3943ED7F32D4C12F
2shot,E1,RRUFF-R050002,trigonal,support_train,7939392E76D64FE5593ED97F7F1E29FB556776FC65166BA2D10C850947F27226
2shot,E1,RRUFF-R050308,trigonal,support_train,337972B0D616572233F8F4114EE89690C86AA4922A2DD1805569B46EBDAA380B
2shot,E1,RRUFF-R050411,cubic,adaptation_validation,A294098231F3C88277BCC42A93A29B5412E1F5AE3395838520E755ABAE452A5C
2shot,E1,RRUFF-R070506,cubic,adaptation_validation,B7C137712506C34F57E4866D83C5790789226F132DB045100769D97C5DF24D2B
2shot,E1,RRUFF-R090045,hexagonal,adaptation_validation,BF32BC8A190E1C8AD288261208FCA47E969EB6B743FAB40A558C703F9AB3A473
2shot,E1,RRUFF-R100208,hexagonal,adaptation_validation,AA8874F87FB7C04D5B16B7179DAA680C2B7C46380FA226509BEBCF68E7FFAF73
2shot,E1,RRUFF-R050423,monoclinic,adaptation_validation,321C78904ADC5508D3C8D1A8B4848CE4D19591DDCECE31AB859C51BA661B188B
2shot,E1,RRUFF-R050480,monoclinic,adaptation_validation,A3B0306808281F7B2A4A886EAA8C820CB906D94BC78A346BB47E1270AB5D6965
