rruff_id,crystal_system,split
R060016,monoclinic,locked_test
R070561,monoclinic,locked_test
R050638,monoclinic,locked_test
R060578,monoclinic,locked_test
R060365,monoclinic,locked_test
R060078,monoclinic,locked_test
R060052,monoclinic,locked_test
R050420,monoclinic,locked_test
R060299,monoclinic,locked_test
R070249,monoclinic,locked_test
R060198,monoclinic,locked_test
R060276,monoclinic,locked_test
R050044,monoclinic,locked_test
R070322,monoclinic,locked_test
R050532,monoclinic,locked_test
R040181,monoclinic,locked_test
R100218,monoclinic,locked_test
R050287,monoclinic,locked_test
R050367,monoclinic,locked_test
R050269,monoclinic,locked_test
R050316,monoclinic,locked_test
R050124,monoclinic,locked_test
R050341,monoclinic,locked_test
R070195,monoclinic,locked_test
R050240,monoclinic,locked_test
R060130,monoclinic,locked_test
R050526,monoclinic,locked_test
R040135,orthorhombic,locked_test
R070536,orthorhombic,locked_test
R130034,orthorhombic,locked_test
R040052,orthorhombic,locked_test
R050239,orthorhombic,locked_test
R040183,orthorhombic,locked_test
R050298,orthorhombic,locked_test
R050248,orthorhombic,locked_test
R050148,orthorhombic,locked_test
R040117,orthorhombic,locked_test
R040037,orthorhombic,locked_test
R050449,orthorhombic,locked_test
R050476,orthorhombic,locked_test
R060908,orthorhombic,locked_test
R050442,orthorhombic,locked_test
R090034,orthorhombic,locked_test
R050509,orthorhombic,locked_test
R050456,orthorhombic,locked_test
R060561,orthorhombic,locked_test
R050405,orthorhombic,locked_test
R050020,orthorhombic,locked_test
R040184,orthorhombic,locked_test
R050591,orthorhombic,locked_test
R050521,orthorhombic,locked_test
R060917,orthorhombic,locked_test
R050008,orthorhombic,locked_test
R040073,orthorhombic,locked_test
R040112,orthorhombic,locked_test
R050174,orthorhombic,locked_test
R050517,orthorhombic,locked_test
R040130,orthorhombic,locked_test
R050042,orthorhombic,locked_test
R040069,orthorhombic,locked_test
R040172,tetragonal,locked_test
R061100,tetragonal,locked_test
R040017,tetragonal,locked_test
R060428,tetragonal,locked_test
R040107,tetragonal,locked_test
R060526,tetragonal,locked_test
R050035,tetragonal,locked_test
R050417,tetragonal,locked_test
R050489,tetragonal,locked_test
R040169,tetragonal,locked_test
R050031,tetragonal,locked_test
R050034,tetragonal,locked_test
R050433,tetragonal,locked_test
R040128,tetragonal,locked_test
R060023,tetragonal,locked_test
R050270,tetragonal,locked_test
R050428,tetragonal,locked_test
R050178,tetragonal,locked_test
R040171,tetragonal,locked_test
R061085,tetragonal,locked_test
R050149,tetragonal,locked_test
R060786,tetragonal,locked_test
R050426,tetragonal,locked_test
R060377,tetragonal,locked_test
R050203,tetragonal,locked_test
R050094,tetragonal,locked_test
R060648,tetragonal,locked_test
R060458,tetragonal,locked_test
R060513,tetragonal,locked_test
R050222,tetragonal,locked_test
R060563,tetragonal,locked_test
R040026,tetragonal,locked_test
R050559,tetragonal,locked_test
R050443,hexagonal,locked_test
R050027,hexagonal,locked_test
R050015,hexagonal,locked_test
R060027,hexagonal,locked_test
R050658,hexagonal,locked_test
R050495,hexagonal,locked_test
R060560,hexagonal,locked_test
R050458,hexagonal,locked_test
R050274,hexagonal,locked_test
R050137,hexagonal,locked_test
R060406,hexagonal,locked_test
R040035,hexagonal,locked_test
R050305,hexagonal,locked_test
R040096,hexagonal,locked_test
R050009,hexagonal,locked_test
R040098,hexagonal,locked_test
R050121,hexagonal,locked_test
R060366,hexagonal,locked_test
R060683,hexagonal,locked_test
R050371,hexagonal,locked_test
R060737,hexagonal,locked_test
R050122,hexagonal,locked_test
R060180,hexagonal,locked_test
R050629,hexagonal,locked_test
R050376,hexagonal,locked_test
R060296,hexagonal,locked_test
R050503,hexagonal,locked_test
R040070,hexagonal,locked_test
R050181,hexagonal,locked_test
R060074,hexagonal,locked_test
R050487,hexagonal,locked_test
R050010,hexagonal,locked_test
R050409,hexagonal,locked_test
R050291,hexagonal,locked_test
R061069,hexagonal,locked_test
R070375,hexagonal,locked_test
R050648,hexagonal,locked_test
R070376,hexagonal,locked_test
R060583,hexagonal,locked_test
R060422,hexagonal,locked_test
R040028,hexagonal,locked_test
R050065,hexagonal,locked_test
R050370,hexagonal,locked_test
R060359,hexagonal,locked_test
R060070,hexagonal,locked_test
R060136,hexagonal,locked_test
R060957,hexagonal,locked_test
R050320,hexagonal,locked_test
R060520,hexagonal,locked_test
R040123,hexagonal,locked_test
R040077,hexagonal,locked_test
R050484,hexagonal,locked_test
R040030,hexagonal,locked_test
R040088,hexagonal,locked_test
R050676,hexagonal,locked_test
R060121,hexagonal,locked_test
R060020,hexagonal,locked_test
R070623,hexagonal,locked_test
R060906,hexagonal,locked_test
R050677,hexagonal,locked_test
R040025,hexagonal,locked_test
R050318,hexagonal,locked_test
R050171,hexagonal,locked_test
R050059,hexagonal,locked_test
R050072,hexagonal,locked_test
R050654,hexagonal,locked_test
R060400,hexagonal,locked_test
R050347,hexagonal,locked_test
R060129,hexagonal,locked_test
R050007,hexagonal,locked_test
R060928,hexagonal,locked_test
R040051,hexagonal,locked_test
R050209,hexagonal,locked_test
R040114,hexagonal,locked_test
R050675,hexagonal,locked_test
R050652,hexagonal,locked_test
R040159,cubic,locked_test
R070394,cubic,locked_test
R060849,cubic,locked_test
R050276,cubic,locked_test
R050383,cubic,locked_test
R050005,cubic,locked_test
R050625,cubic,locked_test
R070254,cubic,locked_test
R130079,cubic,locked_test
R050550,cubic,locked_test
R070747,cubic,locked_test
R050609,cubic,locked_test
R060354,cubic,locked_test
R060916,cubic,locked_test
R061041,cubic,locked_test
R060416,cubic,locked_test
R040099,cubic,locked_test
R050184,cubic,locked_test
R140763,cubic,locked_test
R050046,cubic,locked_test
R050392,cubic,locked_test
R060452,cubic,locked_test
R060521,cubic,locked_test
R050166,cubic,locked_test
R050247,cubic,locked_test
R100216,cubic,locked_test
R050145,cubic,locked_test
R070292,cubic,locked_test
R040027,cubic,locked_test
R061003,cubic,locked_test
R050344,cubic,locked_test
R060436,cubic,locked_test
R050606,cubic,locked_test
