proxy_group_id,anonymized_formula,space_group,nsites,material_id_a,split_a,formula_a,fingerprint_a,material_id_b,split_b,formula_b,fingerprint_b,split_edge,anonymous_high_recall_match,anonymous_default_tolerance_match,same_species_default_tolerance_match,classification,error
proxy_b6abd9515e46,A2B3C12,139,17,mp-1211033,validation,Lu12In2Fe3,65f8343dc4d31984d1f574145f7a1edadb24d2ba4525e4329ecd87af58e8d8fd,mp-1212423,train,Ho12In3Fe2,9a516cc7bbf210fd8121e80a89e0e659207288a56dbafa9f30abec281c69432e,train-validation,false,false,false,screened_nonmatch,
proxy_b6abd9515e46,A2B3C12,139,17,mp-1211033,validation,Lu12In2Fe3,65f8343dc4d31984d1f574145f7a1edadb24d2ba4525e4329ecd87af58e8d8fd,mp-1212895,train,Er12In3Fe2,74048d4d09f8dcc355737516771080b458693b375e19364df36dce3fb25c575f,train-validation,false,false,false,screened_nonmatch,
proxy_d8d08bfacf6d,A2B3C4D4,139,13,mp-1209832,train,Nd3Cu4(P2O)2,cd81da07ee552da645bfd08b4d561bbcaff3489402324af7f9991ef6ca8337a6,mp-1213889,validation,Ce3Cu4(P2O)2,560d5cee4f3c822e12ec351717c19d7ffeb27b8ad0d9f1772864adcc6a0c9c0c,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_8e87970fa5c0,A2B3C5,80,40,mp-1029565,train,Na3W2N5,caff8226249e00f359f9aca70a9642efe422dbb326703a1d72969b2741b8d553,mp-1029845,validation,Na3Mo2N5,ae53e9abacc89e0a93ee8957314bb7b85378095af94efe648764c7bfcdbb9343,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_8e87970fa5c0,A2B3C5,80,40,mp-1029845,validation,Na3Mo2N5,ae53e9abacc89e0a93ee8957314bb7b85378095af94efe648764c7bfcdbb9343,mp-1029857,train,Rb3W2N5,c71113e4bb4ec601cdeb359cc55f70b428cc49dbd36caa0e5a20008ae8cf0e67,train-validation,true,false,false,anonymous_prototype_high_recall_only,
proxy_8e87970fa5c0,A2B3C5,80,40,mp-1029845,validation,Na3Mo2N5,ae53e9abacc89e0a93ee8957314bb7b85378095af94efe648764c7bfcdbb9343,mp-1029938,train,K3W2N5,9ef9f118b9e318d41986cc1d71f3f72418c39474a206049f2c6dd2afeed85cab,train-validation,true,false,false,anonymous_prototype_high_recall_only,
proxy_8e87970fa5c0,A2B3C5,80,40,mp-1029845,validation,Na3Mo2N5,ae53e9abacc89e0a93ee8957314bb7b85378095af94efe648764c7bfcdbb9343,mp-1118943,train,Cs3Re2N5,3b387ccdf5f204650157748fc269b0f9648cdcf914497c694ef311b8ca43502a,train-validation,false,false,false,screened_nonmatch,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1195855,train,Y2Re3Si5,c34c0b69c3a20a320c71477f1364bb610fb969818abbada9b22d807f3639faa8,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1195855,train,Y2Re3Si5,c34c0b69c3a20a320c71477f1364bb610fb969818abbada9b22d807f3639faa8,mp-1197504,validation,Sm2Re3Si5,e87571635b5fa251a0f2c4ea399e11b8a798c47bec45a771c7245009526d7751,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1195855,train,Y2Re3Si5,c34c0b69c3a20a320c71477f1364bb610fb969818abbada9b22d807f3639faa8,mp-1198337,test,Yb2Fe3Si5,0daba52849a6bfdd8a99297672018003ade690f0fedb350bf72cd1bfa15e66bb,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1195855,train,Y2Re3Si5,c34c0b69c3a20a320c71477f1364bb610fb969818abbada9b22d807f3639faa8,mp-1198388,validation,Y2Mn3Si5,cfd9a3143411debe029dfaf245084da9f8644bc1ae27813c6522d912933d2c65,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1195855,train,Y2Re3Si5,c34c0b69c3a20a320c71477f1364bb610fb969818abbada9b22d807f3639faa8,mp-1202868,validation,Np2Re3Si5,b76cf290b46519e22dd91548a8a8062b4601123350fe319eca4eed44faa6009e,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196684,train,Tm2Fe3Si5,22c28270515e4bae815eea4a5657cdc36e0aeb33c5d2104569474d84ae7681ca,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196684,train,Tm2Fe3Si5,22c28270515e4bae815eea4a5657cdc36e0aeb33c5d2104569474d84ae7681ca,mp-1197504,validation,Sm2Re3Si5,e87571635b5fa251a0f2c4ea399e11b8a798c47bec45a771c7245009526d7751,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196684,train,Tm2Fe3Si5,22c28270515e4bae815eea4a5657cdc36e0aeb33c5d2104569474d84ae7681ca,mp-1198337,test,Yb2Fe3Si5,0daba52849a6bfdd8a99297672018003ade690f0fedb350bf72cd1bfa15e66bb,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196684,train,Tm2Fe3Si5,22c28270515e4bae815eea4a5657cdc36e0aeb33c5d2104569474d84ae7681ca,mp-1198388,validation,Y2Mn3Si5,cfd9a3143411debe029dfaf245084da9f8644bc1ae27813c6522d912933d2c65,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196684,train,Tm2Fe3Si5,22c28270515e4bae815eea4a5657cdc36e0aeb33c5d2104569474d84ae7681ca,mp-1202868,validation,Np2Re3Si5,b76cf290b46519e22dd91548a8a8062b4601123350fe319eca4eed44faa6009e,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,mp-1197725,train,Y2Fe3Si5,7c77447a00e62c6d969897584e562671084c98e4b614e11b61724d1565bdfb4d,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,mp-1198337,test,Yb2Fe3Si5,0daba52849a6bfdd8a99297672018003ade690f0fedb350bf72cd1bfa15e66bb,validation-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,mp-1198710,train,Pr2Re3Si5,897815901ae676036b06c0ef7403150e4aa5bcce74a707eda5c9992bf5607826,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,mp-1198764,train,Gd2Re3Si5,de42fe85c51e4d4ed85c29f94bf69a50b98e4cce70cf28d92ff98c1488542353,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,mp-1200427,train,Tm2Re3Si5,8e1e268219d8e406a5827b7fced88bef2ace0ec6376f1276959a2d22fe500825,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,mp-1200585,train,Ho2Fe3Si5,297f3e9dfc6eeb289fcb013f48a999f2cfa2d729bab2094b994e52e0726ef47c,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,mp-1203495,train,Tb2Re3Si5,86e7a221543f1b9741f9ebb962789034f11c7bee3009ada67b1776002a6e07c4,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,mp-1203732,train,Lu2Mn3Si5,5a1419dbce7484e12fcc8d7972b412b0513e3673b526eb6ab171622803ea5c0f,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,mp-1204807,train,Er2Re3Si5,acc36d4998b9c02df0fd30aa2dc0dd31f78c56367f6e8e96df7a12f6e4bc5787,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,mp-22401,train,Nd2Re3Si5,3ec5cf171f75e6b85b928d93c9bd30545c791795dfbf3e3f371eb5bfecb8e631,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1196838,validation,Dy2Re3Si5,8c0780cdfb2cb7832635be36a8aca1064108ec5e0428759acd5a7864fe12cb4a,mp-22468,train,Tb2Fe3Si5,94216051ab99e69fcd98d2c2e925e73f60cfb8354973bed349cee2b1aadea637,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1197504,validation,Sm2Re3Si5,e87571635b5fa251a0f2c4ea399e11b8a798c47bec45a771c7245009526d7751,mp-1197725,train,Y2Fe3Si5,7c77447a00e62c6d969897584e562671084c98e4b614e11b61724d1565bdfb4d,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1197504,validation,Sm2Re3Si5,e87571635b5fa251a0f2c4ea399e11b8a798c47bec45a771c7245009526d7751,mp-1198337,test,Yb2Fe3Si5,0daba52849a6bfdd8a99297672018003ade690f0fedb350bf72cd1bfa15e66bb,validation-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1197504,validation,Sm2Re3Si5,e87571635b5fa251a0f2c4ea399e11b8a798c47bec45a771c7245009526d7751,mp-1198710,train,Pr2Re3Si5,897815901ae676036b06c0ef7403150e4aa5bcce74a707eda5c9992bf5607826,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_cd07b70d2a6f,A2B3C5,128,40,mp-1197504,validation,Sm2Re3Si5,e87571635b5fa251a0f2c4ea399e11b8a798c47bec45a771c7245009526d7751,mp-1198764,train,Gd2Re3Si5,de42fe85c51e4d4ed85c29f94bf69a50b98e4cce70cf28d92ff98c1488542353,train-validation,true,true,false,anonymous_prototype_default_tolerance,
