parent_id,representative_scan_id,crystal_system,space_group_consensus,label_source,symmetry_stable,formal_14060_overlap,manual_review_status,exclusion_reason,formula_reduced,parent_group_size
cnrs_parent_0115,pattern_32,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,KH4C4BrN2O3,1
cnrs_parent_0153,pattern_44,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,K2CaFe(CN)6,1
cnrs_parent_0214,pattern_60,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H21C23SN4ClO4,1
cnrs_parent_0236,pattern_67,monoclinic,12,structure_recomputed_stable_system,True,False,NOT_RUN,,Li2MnO2,1
cnrs_parent_0005,pattern_102,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,Sr5Pr5(GeO3)6,1
cnrs_parent_0011,pattern_103,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,AlC8O4F,8
cnrs_parent_0027,pattern_109,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,La2Y2Si2O7,4
cnrs_parent_0030,pattern_112,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,FeH21C32NO,1
cnrs_parent_0031,pattern_113,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,As2O3,23
cnrs_parent_0039,pattern_125,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,MnH12C18(N4O)2,1
cnrs_parent_0042,pattern_129,monoclinic,12,structure_recomputed_stable_system,True,False,NOT_RUN,,FeH24Au2(C5N)6,1
cnrs_parent_0051,pattern_151,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,Ca3Eu3Ge3O10,1
cnrs_parent_0060,pattern_175,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,Sr5Sm3(GeO3)6,1
cnrs_parent_0066,pattern_192,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,HoNbO4,1
cnrs_parent_0072,pattern_205,monoclinic,11,structure_recomputed_stable_system,True,False,NOT_RUN,,H8C2NCl,11
cnrs_parent_0074,pattern_208,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H20C22SN4O3,1
cnrs_parent_0080,pattern_225,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H16C12N2O5,1
cnrs_parent_0081,pattern_226,monoclinic,12,structure_recomputed_stable_system,True,False,NOT_RUN,,Al2P3H6C9O10,1
cnrs_parent_0084,pattern_233,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,KMn(CN)3,1
cnrs_parent_0089,pattern_241,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H12C10O3,1
cnrs_parent_0091,pattern_243,monoclinic,12,structure_recomputed_stable_system,True,False,NOT_RUN,,K2EuMoO4,1
cnrs_parent_0092,pattern_244,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,AlP2H7C6O7,1
cnrs_parent_0094,pattern_250,monoclinic,11,structure_recomputed_stable_system,True,False,NOT_RUN,,Nb(FeTe)3,1
cnrs_parent_0095,pattern_255,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,Na2MgFe(CN)6,1
cnrs_parent_0098,pattern_262,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H18C17O3,1
cnrs_parent_0099,pattern_266,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,Pr2Ta2O9,1
cnrs_parent_0102,pattern_273,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,K2MgFe(CN)6,1
cnrs_parent_0110,pattern_303,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H3C3NO,1
cnrs_parent_0111,pattern_307,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,RbLiH8(C3O4)2,1
cnrs_parent_0121,pattern_342,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,CuH11C8IN3,1
cnrs_parent_0122,pattern_344,monoclinic,12,structure_recomputed_stable_system,True,False,NOT_RUN,,Ag5(CS)6,1
cnrs_parent_0128,pattern_362,monoclinic,13,structure_recomputed_stable_system,True,False,NOT_RUN,,V6Ni2H24C24N4O17,1
cnrs_parent_0130,pattern_365,monoclinic,12,structure_recomputed_stable_system,True,False,NOT_RUN,,Li5Fe3(SbO2)3,1
cnrs_parent_0137,pattern_388,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,MnH8C13SN3O4,1
cnrs_parent_0140,pattern_397,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,Ba2Pr2Ge4O13,1
cnrs_parent_0151,pattern_431,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,NaH4C4BrN2O3,1
cnrs_parent_0162,pattern_469,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,FeH12C18(N4O)2,1
cnrs_parent_0165,pattern_474,monoclinic,13,structure_recomputed_stable_system,True,False,NOT_RUN,,HoTaO4,1
cnrs_parent_0169,pattern_480,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,FeH30(C13N2)2,1
cnrs_parent_0170,pattern_482,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H6C5(NO2)2,1
cnrs_parent_0174,pattern_491,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,CaEuWO4,1
cnrs_parent_0176,pattern_497,monoclinic,11,structure_recomputed_stable_system,True,False,NOT_RUN,,BaLu6Ge7O24,1
cnrs_parent_0180,pattern_513,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H3C6Se2S2N3F,3
cnrs_parent_0181,pattern_514,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,AlH12C4N,1
cnrs_parent_0182,pattern_516,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,CrH12(C10N3)2,1
cnrs_parent_0186,pattern_538,monoclinic,12,structure_recomputed_stable_system,True,False,NOT_RUN,,Mg2V2Zn2O7,1
cnrs_parent_0190,pattern_551,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H5C6IO,1
cnrs_parent_0191,pattern_552,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,YB4H20N,1
cnrs_parent_0193,pattern_554,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,CdPH4C7O4F5,1
cnrs_parent_0195,pattern_560,monoclinic,11,structure_recomputed_stable_system,True,False,NOT_RUN,,Zn2CoC8(NO)6,1
cnrs_parent_0198,pattern_568,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H18C21NClO6,1
cnrs_parent_0209,pattern_588,monoclinic,12,structure_recomputed_stable_system,True,False,NOT_RUN,,H3Pb(C2O)4,1
cnrs_parent_0210,pattern_590,monoclinic,11,structure_recomputed_stable_system,True,False,NOT_RUN,,BaTm6Ge7O24,1
cnrs_parent_0212,pattern_595,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H14C13N3ClO2,1
cnrs_parent_0213,pattern_599,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H18C21SN4O3,1
cnrs_parent_0219,pattern_616,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H12C10O3,1
cnrs_parent_0221,pattern_618,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,NaVP2O7,1
cnrs_parent_0240,pattern_684,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,NaB6(H6N)2,1
cnrs_parent_0243,pattern_710,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,H5C7SO2,1
cnrs_parent_0251,pattern_745,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,CuH8C6IN2,1
cnrs_parent_0254,pattern_756,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H13C7NO2,1
cnrs_parent_0259,pattern_779,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,AgH8C6BrN2,1
cnrs_parent_0269,pattern_815,monoclinic,7,structure_recomputed_stable_system,True,False,NOT_RUN,,NbCuO3,1
cnrs_parent_0271,pattern_825,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,RbB3(H6N)2,1
cnrs_parent_0273,pattern_831,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,Sr5La5(GeO3)6,1
cnrs_parent_0274,pattern_833,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,ZnH5C8NO4,1
cnrs_parent_0284,pattern_857,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,Ca3Y3Ge3O10,1
cnrs_parent_0285,pattern_859,monoclinic,13,structure_recomputed_stable_system,True,False,NOT_RUN,,Li(C3N2)2,1
cnrs_parent_0292,pattern_885,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,HgH12C8(SN)2,1
cnrs_parent_0294,pattern_890,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H4C10N2ClO2,1
cnrs_parent_0295,pattern_895,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,CoH6(C8N5)2,1
cnrs_parent_0296,pattern_896,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H18C14O5,1
cnrs_parent_0297,pattern_906,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,CoH12C18(N4O)2,1
cnrs_parent_0298,pattern_907,monoclinic,9,structure_recomputed_stable_system,True,False,NOT_RUN,,NiH12C12S(NO)4,1
cnrs_parent_0301,pattern_912,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,SmNbO4,1
cnrs_parent_0305,pattern_930,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,CoAgF5,1
cnrs_parent_0306,pattern_938,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,CuH14C15(N3O)2,1
cnrs_parent_0314,pattern_961,monoclinic,12,structure_recomputed_stable_system,True,False,NOT_RUN,,K3YbEu(MoO4)2,1
cnrs_parent_0320,pattern_977,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,Na9Al(MoO4)6,1
cnrs_parent_0323,pattern_998,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,Nd2Ta2O9,1
cnrs_parent_0007,pattern_1021,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H4C5,10
cnrs_parent_0008,pattern_1023,monoclinic,15,structure_recomputed_stable_system,True,False,NOT_RUN,,Al3C16N2O21,1
cnrs_parent_0014,pattern_1034,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,Sr3CaIr2O9,1
cnrs_parent_0020,pattern_1044,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H6C5O,1
cnrs_parent_0021,pattern_1045,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,La2Ho2Si2O7,1
cnrs_parent_0070,pattern_20,orthorhombic,62,structure_recomputed_stable_system,True,False,NOT_RUN,,Ca(N4Cl)2,1
cnrs_parent_0163,pattern_47,orthorhombic,61,structure_recomputed_stable_system,True,False,NOT_RUN,,ZnH4CSN,1
cnrs_parent_0173,pattern_49,orthorhombic,59,structure_recomputed_stable_system,True,False,NOT_RUN,,Si9C8(NO10)2,1
cnrs_parent_0224,pattern_63,orthorhombic,62,structure_recomputed_stable_system,True,False,NOT_RUN,,Na3NiH5,1
cnrs_parent_0234,pattern_66,orthorhombic,19,structure_recomputed_stable_system,True,False,NOT_RUN,,H6C9O2,1
cnrs_parent_0245,pattern_72,orthorhombic,64,structure_recomputed_stable_system,True,False,NOT_RUN,,H5C10(NO)2,1
cnrs_parent_0293,pattern_89,orthorhombic,60,structure_recomputed_stable_system,True,False,NOT_RUN,,Na2LiFePO4F,1
cnrs_parent_0025,pattern_106,orthorhombic,33,structure_recomputed_stable_system,True,False,NOT_RUN,,HC6S4N2O,3
cnrs_parent_0032,pattern_114,orthorhombic,62,structure_recomputed_stable_system,True,False,NOT_RUN,,BaMn2Fe2Pb2O5,1
cnrs_parent_0033,pattern_116,orthorhombic,60,structure_recomputed_stable_system,True,False,NOT_RUN,,InC8NO8,1
cnrs_parent_0034,pattern_117,orthorhombic,74,structure_recomputed_stable_system,True,False,NOT_RUN,,AlC8O5,15
cnrs_parent_0037,pattern_123,orthorhombic,71,structure_recomputed_stable_system,True,False,NOT_RUN,,Ti13Fe13(Bi12O29)2,1
cnrs_parent_0043,pattern_131,orthorhombic,63,structure_recomputed_stable_system,True,False,NOT_RUN,,KYb(BH4)4,1
cnrs_parent_0044,pattern_132,orthorhombic,19,structure_recomputed_stable_system,True,False,NOT_RUN,,H11C9O,1
cnrs_parent_0045,pattern_135,orthorhombic,62,structure_recomputed_stable_system,True,False,NOT_RUN,,YB4H28C4N,1
cnrs_parent_0046,pattern_136,orthorhombic,72,structure_recomputed_stable_system,True,False,NOT_RUN,,YbTa3O9,1
cnrs_parent_0048,pattern_148,orthorhombic,74,structure_recomputed_stable_system,True,False,NOT_RUN,,Ba2Ti2Fe3Bi(PbO3)3,1
cnrs_parent_0054,pattern_166,orthorhombic,58,structure_recomputed_stable_system,True,False,NOT_RUN,,NiBH24C16(N4O)2,2
cnrs_parent_0055,pattern_167,orthorhombic,29,structure_recomputed_stable_system,True,False,NOT_RUN,,NiH6(N2O3)2,1
cnrs_parent_0059,pattern_174,orthorhombic,62,structure_recomputed_stable_system,True,False,NOT_RUN,,SrPrO3,2
cnrs_parent_0064,pattern_188,orthorhombic,19,structure_recomputed_stable_system,True,False,NOT_RUN,,H5C12S4N2O,4
cnrs_parent_0076,pattern_212,orthorhombic,19,structure_recomputed_stable_system,True,False,NOT_RUN,,H6C9O2,2
cnrs_parent_0078,pattern_220,orthorhombic,45,structure_recomputed_stable_system,True,False,NOT_RUN,,Al4P4C3O16,1
cnrs_parent_0079,pattern_223,orthorhombic,63,structure_recomputed_stable_system,True,False,NOT_RUN,,CoW(C6N5)2,1
cnrs_parent_0082,pattern_227,orthorhombic,60,structure_recomputed_stable_system,True,False,NOT_RUN,,CuH8C6S(NO2)2,1
cnrs_parent_0086,pattern_238,orthorhombic,58,structure_recomputed_stable_system,True,False,NOT_RUN,,NiBH22C16(N3O)2,1
cnrs_parent_0090,pattern_242,orthorhombic,46,structure_recomputed_stable_system,True,False,NOT_RUN,,La4(Ga2O5)3,1
cnrs_parent_0100,pattern_268,orthorhombic,53,structure_recomputed_stable_system,True,False,NOT_RUN,,BiC7O9,1
cnrs_parent_0114,pattern_319,orthorhombic,62,structure_recomputed_stable_system,True,False,NOT_RUN,,La2Ho2Si2O7,1
cnrs_parent_0119,pattern_334,orthorhombic,19,structure_recomputed_stable_system,True,False,NOT_RUN,,CdPH8C7O4F,1
cnrs_parent_0120,pattern_341,orthorhombic,63,structure_recomputed_stable_system,True,False,NOT_RUN,,KB3(H6N)2,1
cnrs_parent_0136,pattern_382,orthorhombic,58,structure_recomputed_stable_system,True,False,NOT_RUN,,Na8Ca3In(SiO3)6,1
cnrs_parent_0139,pattern_395,orthorhombic,45,structure_recomputed_stable_system,True,False,NOT_RUN,,AlPO4,2
cnrs_parent_0150,pattern_427,orthorhombic,62,structure_recomputed_stable_system,True,False,NOT_RUN,,CuH14C15(N3O)2,1
cnrs_parent_0152,pattern_439,orthorhombic,72,structure_recomputed_stable_system,True,False,NOT_RUN,,LaTa3O8,1
cnrs_parent_0156,pattern_451,orthorhombic,29,structure_recomputed_stable_system,True,False,NOT_RUN,,CaTeO3,1
cnrs_parent_0164,pattern_470,orthorhombic,33,structure_recomputed_stable_system,True,False,NOT_RUN,,HC6S4N2O,2
cnrs_parent_0167,pattern_476,orthorhombic,72,structure_recomputed_stable_system,True,False,NOT_RUN,,LaTa3O9,1
cnrs_parent_0168,pattern_479,orthorhombic,65,structure_recomputed_stable_system,True,False,NOT_RUN,,CoC19(N4Cl)2,1
cnrs_parent_0171,pattern_485,orthorhombic,60,structure_recomputed_stable_system,True,False,NOT_RUN,,KGd(MoO4)2,1
cnrs_parent_0172,pattern_487,orthorhombic,19,structure_recomputed_stable_system,True,False,NOT_RUN,,H4C8BrNO2,1
cnrs_parent_0177,pattern_498,orthorhombic,71,structure_recomputed_stable_system,True,False,NOT_RUN,,CsMgTiO2,1
cnrs_parent_0184,pattern_532,orthorhombic,61,structure_recomputed_stable_system,True,False,NOT_RUN,,Ca(ClO4)2,1
cnrs_parent_0187,pattern_541,orthorhombic,19,structure_recomputed_stable_system,True,False,NOT_RUN,,Ca(CO)5,1
cnrs_parent_0192,pattern_553,orthorhombic,33,structure_recomputed_stable_system,True,False,NOT_RUN,,CaTeO4,1
cnrs_parent_0194,pattern_559,orthorhombic,63,structure_recomputed_stable_system,True,False,NOT_RUN,,NaYb(BH4)4,1
cnrs_parent_0197,pattern_566,orthorhombic,62,structure_recomputed_stable_system,True,False,NOT_RUN,,La2Y2Si2O7,2
cnrs_parent_0202,pattern_577,orthorhombic,60,structure_recomputed_stable_system,True,False,NOT_RUN,,Ba4P15Au8,1
cnrs_parent_0204,pattern_581,orthorhombic,26,structure_recomputed_stable_system,True,False,NOT_RUN,,NiH12C8S(NO2)2,1
cnrs_parent_0206,pattern_583,orthorhombic,32,structure_recomputed_stable_system,True,False,NOT_RUN,,Eu2(MoO4)3,1
cnrs_parent_0227,pattern_634,orthorhombic,52,structure_recomputed_stable_system,True,False,NOT_RUN,,CsB3(H6N)2,1
cnrs_parent_0230,pattern_646,orthorhombic,60,structure_recomputed_stable_system,True,False,NOT_RUN,,NaFePO4F,1
cnrs_parent_0235,pattern_660,orthorhombic,60,structure_recomputed_stable_system,True,False,NOT_RUN,,FeWO2,2
cnrs_parent_0242,pattern_697,orthorhombic,19,structure_recomputed_stable_system,True,False,NOT_RUN,,CdPH8C7O4F,1
cnrs_parent_0256,pattern_760,orthorhombic,43,structure_recomputed_stable_system,True,False,NOT_RUN,,HC6S4N2O,1
cnrs_parent_0261,pattern_781,orthorhombic,57,structure_recomputed_stable_system,True,False,NOT_RUN,,Ca5VN5,1
cnrs_parent_0262,pattern_784,orthorhombic,74,structure_recomputed_stable_system,True,False,NOT_RUN,,Na2Fe3Ni3(PO4)3,1
cnrs_parent_0267,pattern_800,orthorhombic,45,structure_recomputed_stable_system,True,False,NOT_RUN,,Al4P4C2NO16,1
cnrs_parent_0281,pattern_845,orthorhombic,63,structure_recomputed_stable_system,True,False,NOT_RUN,,NiH8C6S(NO2)2,1
cnrs_parent_0283,pattern_855,orthorhombic,62,structure_recomputed_stable_system,True,False,NOT_RUN,,SiNi,1
cnrs_parent_0286,pattern_861,orthorhombic,29,structure_recomputed_stable_system,True,False,NOT_RUN,,H4C9N3O2,1
cnrs_parent_0287,pattern_868,orthorhombic,63,structure_recomputed_stable_system,True,False,NOT_RUN,,MnH8C6S(NO2)2,1
cnrs_parent_0299,pattern_908,orthorhombic,65,structure_recomputed_stable_system,True,False,NOT_RUN,,Ba3Ti3Fe5(PbO3)5,1
cnrs_parent_0307,pattern_939,orthorhombic,33,structure_recomputed_stable_system,True,False,NOT_RUN,,CaSiBO3,1
cnrs_parent_0310,pattern_950,orthorhombic,62,structure_recomputed_stable_system,True,False,NOT_RUN,,GaHO2,1
cnrs_parent_0312,pattern_958,orthorhombic,61,structure_recomputed_stable_system,True,False,NOT_RUN,,H19C17N3ClO3F,1
cnrs_parent_0318,pattern_972,orthorhombic,72,structure_recomputed_stable_system,True,False,NOT_RUN,,EuTa3O8,1
cnrs_parent_0002,pattern_1010,orthorhombic,36,structure_recomputed_stable_system,True,False,NOT_RUN,,C6S4N2OF,7
cnrs_parent_0003,pattern_1013,orthorhombic,26,structure_recomputed_stable_system,True,False,NOT_RUN,,CoH12C8S(NO2)2,1
cnrs_parent_0004,pattern_1018,orthorhombic,31,structure_recomputed_stable_system,True,False,NOT_RUN,,Ba6Nb3HO14,1
cnrs_parent_0009,pattern_1024,orthorhombic,72,structure_recomputed_stable_system,True,False,NOT_RUN,,YbTa3O8,1
cnrs_parent_0010,pattern_1028,orthorhombic,18,structure_recomputed_stable_system,True,False,NOT_RUN,,YP3C10(NO3)4,1
cnrs_parent_0013,pattern_1032,orthorhombic,62,structure_recomputed_stable_system,True,False,NOT_RUN,,CdTeO3,1
cnrs_parent_0016,pattern_1038,orthorhombic,72,structure_recomputed_stable_system,True,False,NOT_RUN,,EuTa3O9,1
cnrs_parent_0017,pattern_1039,orthorhombic,74,structure_recomputed_stable_system,True,False,NOT_RUN,,AlC8O4F,16
cnrs_parent_0018,pattern_1040,orthorhombic,71,structure_recomputed_stable_system,True,False,NOT_RUN,,Ti13Fe13(Bi5O19)2,1
cnrs_parent_0019,pattern_1043,orthorhombic,19,structure_recomputed_stable_system,True,False,NOT_RUN,,H22C33O4,1
cnrs_parent_0133,pattern_37,tetragonal,129,structure_recomputed_stable_system,True,False,NOT_RUN,,CeInS2O,3
cnrs_parent_0203,pattern_58,tetragonal,125,structure_recomputed_stable_system,True,False,NOT_RUN,,Yb3Mn2(GeO3)4,1
cnrs_parent_0222,pattern_62,tetragonal,101,structure_recomputed_stable_system,True,False,NOT_RUN,,Fe2H40C22S4N,1
cnrs_parent_0264,pattern_79,tetragonal,88,structure_recomputed_stable_system,True,False,NOT_RUN,,CaEuMoO4,1
cnrs_parent_0023,pattern_105,tetragonal,139,structure_recomputed_stable_system,True,False,NOT_RUN,,KBa(FeAs)2,5
cnrs_parent_0038,pattern_124,tetragonal,129,structure_recomputed_stable_system,True,False,NOT_RUN,,C9NCl,20
cnrs_parent_0052,pattern_156,tetragonal,129,structure_recomputed_stable_system,True,False,NOT_RUN,,C5NCl,1
cnrs_parent_0071,pattern_203,tetragonal,92,structure_recomputed_stable_system,True,False,NOT_RUN,,Lu2Ge2O7,1
cnrs_parent_0103,pattern_274,tetragonal,125,structure_recomputed_stable_system,True,False,NOT_RUN,,Ca2Lu3(GeO3)4,1
cnrs_parent_0104,pattern_278,tetragonal,140,structure_recomputed_stable_system,True,False,NOT_RUN,,SrZrNbO3,1
cnrs_parent_0106,pattern_283,tetragonal,140,structure_recomputed_stable_system,True,False,NOT_RUN,,SrZrTiNbO3,1
cnrs_parent_0107,pattern_288,tetragonal,125,structure_recomputed_stable_system,True,False,NOT_RUN,,Dy3Mn2(GeO3)4,1
cnrs_parent_0108,pattern_294,tetragonal,87,structure_recomputed_stable_system,True,False,NOT_RUN,,Mn4AgO8,2
cnrs_parent_0117,pattern_324,tetragonal,141,structure_recomputed_stable_system,True,False,NOT_RUN,,MnReGe4,1
cnrs_parent_0118,pattern_327,tetragonal,87,structure_recomputed_stable_system,True,False,NOT_RUN,,TiPbO3,1
cnrs_parent_0144,pattern_409,tetragonal,139,structure_recomputed_stable_system,True,False,NOT_RUN,,K(FeAs)2,1
cnrs_parent_0155,pattern_448,tetragonal,139,structure_recomputed_stable_system,True,False,NOT_RUN,,Ba(FeAs)2,2
cnrs_parent_0166,pattern_475,tetragonal,125,structure_recomputed_stable_system,True,False,NOT_RUN,,Ca2Tm3(GeO3)4,1
cnrs_parent_0185,pattern_533,tetragonal,129,structure_recomputed_stable_system,True,False,NOT_RUN,,Ce2NdClO3,1
cnrs_parent_0201,pattern_576,tetragonal,125,structure_recomputed_stable_system,True,False,NOT_RUN,,Ca2Yb3(GeO3)4,1
cnrs_parent_0215,pattern_606,tetragonal,88,structure_recomputed_stable_system,True,False,NOT_RUN,,CoH28Ru2C42(N5O4)2,1
cnrs_parent_0218,pattern_615,tetragonal,125,structure_recomputed_stable_system,True,False,NOT_RUN,,Ca2Er3(GeO3)4,1
cnrs_parent_0225,pattern_631,tetragonal,125,structure_recomputed_stable_system,True,False,NOT_RUN,,Gd3Mn2(GeO3)4,1
cnrs_parent_0226,pattern_633,tetragonal,92,structure_recomputed_stable_system,True,False,NOT_RUN,,Y2Ge2O7,1
cnrs_parent_0228,pattern_638,tetragonal,92,structure_recomputed_stable_system,True,False,NOT_RUN,,K6Se2O9,1
cnrs_parent_0231,pattern_648,tetragonal,129,structure_recomputed_stable_system,True,False,NOT_RUN,,NaH36C16O,1
cnrs_parent_0239,pattern_682,tetragonal,127,structure_recomputed_stable_system,True,False,NOT_RUN,,Ba3La3Nb5(FeO3)5,1
cnrs_parent_0247,pattern_724,tetragonal,139,structure_recomputed_stable_system,True,False,NOT_RUN,,Ba(NiGe)2,1
cnrs_parent_0250,pattern_744,tetragonal,125,structure_recomputed_stable_system,True,False,NOT_RUN,,Er3Mn2(GeO3)4,1
cnrs_parent_0252,pattern_751,tetragonal,140,structure_recomputed_stable_system,True,False,NOT_RUN,,SrZrTiNbO3,2
